Name,BPD_GT,BPD_R,BPD_E,HC_GT,HC_R,HC_E,AC_GT,AC_R,AC_E,FL_GT,FL_R,FL_E
190827020936_@00000233@-00000-02244,78.63387649,78.0339807,0.59989579,273.1715797,273.5849111,0.4133314,233.7102927,233.1323599,0.5779328,51.95993019,54.29441487,2.33448468
190605010802_@00000017@-34645-01741,59.88730587,61.02143818,1.13413231,236.14528,238.871041,2.725761,,,,,,
190718010750_@00000136@-31116-01933,69.11178952,67.96897363,1.14281589,252.8883968,251.3364549,1.5519419,194.7341357,204.8856061,10.1514704,46.73030595,48.50844998,1.77814403
200311060919_@00001189@,52.70075196,52.95181789,0.25106593,188.1233258,189.8413047,1.7179789,143.8154458,155.4185132,11.6030674,31.59410806,31.9262217,0.33211364
191011020856_@00000052@-10112-02735,,,,,,,,,,30.35337386,31.21382401,0.86045015
190927010807_@00000483@-03826-02521,59.27285382,58.1732895,1.09956432,211.9540882,212.4803743,0.5262861,167.8317948,182.0680898,14.236295,40.36822897,41.79241057,1.4241816
190911031034_@00000261@-01255-05607,,75.29291611,,285.7108044,276.5782659,9.1325385,274.1620256,277.4917085,3.3296829,51.8317065,54.4842381,2.6525316
190912010801_@00000262@-04955-01739,84.35413687,86.30695104,1.95281417,302.3924775,308.4863917,6.0939142,291.5855765,287.5549316,4.0306449,57.33065216,59.62738842,2.29673626
190611010748_@00000022@-11845-01810,62.82862015,62.39177481,0.43684534,229.2732133,227.3894405,1.8837728,210.3642003,210.5410498,0.1768495,43.4994289,46.41887933,2.91945043
190723020817_@00000142@-10513-05427,64.02647506,62.73841288,1.28806218,231.2156405,233.7698475,2.554207,188.5013043,191.0701837,2.5688794,42.21416454,44.10073843,1.88657389
190926041028_@00000480@-00000-02011,52.33050143,52.32324212,0.00725931,200.5241912,199.5125649,1.0116263,172.5838894,180.5506905,7.9668011,37.37375278,37.97921964,0.60546686
190918010832_@00000382@-04514-02559,75.48303783,76.24306887,0.76003104,292.4044807,300.4300783,8.0255976,258.4747815,264.0877885,5.613007,59.52129365,60.69391507,1.17262142
190929021052_@00000417@-00712-03223,67.48927268,67.77559766,0.28632498,242.8304306,244.6594055,1.8289749,221.1335506,225.4489758,4.3154252,,,
190918020857_@00000278@-00000-02515,73.81141882,72.2540963,1.55732252,262.4014141,263.5338427,1.1324286,237.092473,242.683036,5.590563,54.14873456,56.02889858,1.88016402
190617010757_@00000030@-21350-01814,73.16035385,71.9940456,1.16630825,268.3237555,266.7861914,1.5375641,230.3728143,237.0629305,6.6901162,48.17656313,49.26962917,1.09306604
190923020929_@00000282@-01830-01922,57.96241722,57.53338911,0.42902811,216.4738799,220.9312952,4.4574153,184.3539906,187.240207,2.8862164,40.19982601,39.88189335,0.31793266
200305010807_@00001140@,,,,,,,119.6541483,134.5370843,14.882936,25.3692276,26.30745607,0.93822847
190705010800_@00000041@-20329-04725,,75.10703119,,274.5211684,277.7291986,3.2080302,266.6144335,256.1451674,10.4692661,,,
191021021017_@00000066@-00000-01829,54.97008029,55.76161328,0.79153299,223.3801281,219.9881891,3.391939,181.3063861,195.5622773,14.2558912,,,
191105040914_@00000105@-00000-00952,63.85559403,64.85216148,0.99656745,243.7068813,243.3814551,0.3254262,206.8065871,210.6041823,3.7975952,39.25203662,40.14444523,0.89240861
190929020840_@00000489@-02216-02839,59.35098533,58.84013576,0.51084957,215.7017803,217.4150913,1.713311,182.9946485,184.1080426,1.1133941,43.13952173,43.93858048,0.79905875
190723020817_@00000142@-00756-01457,,,,,,,,,,38.13206962,39.81557896,1.68350934
190705010800_@00000041@-05308-01052,61.26275377,61.1460809,0.11667287,230.6109178,234.7678835,4.1569657,,,,45.88289882,47.52395676,1.64105794
190919121448_@00000442@-00033-02652,56.55196563,56.82267735,0.27071172,207.7157725,206.5203809,1.1953916,,,,41.05600172,43.48663067,2.43062895
191023020829_@00000078@-00000-05326,70.48578176,70.46779756,0.0179842,251.4289048,251.8097835,0.3808787,202.0379691,213.4493069,11.4113378,47.91582724,50.18932795,2.27350071
190731010804_@00000148@-14336-01557,,,,,,,254.6529691,249.6223278,5.0306413,53.99944106,56.32150906,2.322068
