Name,GT,Result,,Error,Error
190827020936_@00000233@-00000-02244,29.14285714,28.90737995,,0.235477193,0.235477193
190605010802_@00000017@-34645-01741,25.57142857,25.14575337,,0.425675201,0.425675201
190718010750_@00000136@-31116-01933,26,26.16116453,,0.16116453,0.16116453
200311060919_@00001189@,20.57142857,20.64535217,,0.073923599,0.073923599
191011020856_@00000052@-10112-02735,20.57142857,19.68491548,,0.886513091,0.886513091
190927010807_@00000483@-03826-02521,,23.13439453,,23.13439453,
190911031034_@00000261@-01255-05607,29.28571429,29.59797974,,0.312265454,0.312265454
190912010801_@00000262@-04955-01739,32,32.50003131,,0.50003131,0.50003131
190611010748_@00000022@-11845-01810,25,24.90043635,,0.09956365,0.09956365
190723020817_@00000142@-10513-05427,24.85714286,24.44910649,,0.408036367,0.408036367
190926041028_@00000480@-00000-02011,22.57142857,21.93530774,,0.636120831,0.636120831
190918010832_@00000382@-04514-02559,30.85714286,31.33552706,,0.478384203,0.478384203
190929021052_@00000417@-00712-03223,26.14285714,26.14415605,,0.001298907,0.001298907
190918020857_@00000278@-00000-02515,29,28.62740602,,0.37259398,0.37259398
190617010757_@00000030@-21350-01814,27,27.54293232,,0.54293232,0.54293232
190923020929_@00000282@-01830-01922,23.14285714,23.13706756,,0.005789583,0.005789583
200305010807_@00001140@,18.14285714,18.3693736,,0.226516457,0.226516457
190705010800_@00000041@-20329-04725,28.85714286,29.25740223,,0.400259373,0.400259373
191021021017_@00000066@-00000-01829,23,23.23158316,,0.23158316,0.23158316
191105040914_@00000105@-00000-00952,24.85714286,24.59549318,,0.261649677,0.261649677
190929020840_@00000489@-02216-02839,24.28571429,23.6170505,,0.668663786,0.668663786
190723020817_@00000142@-00756-01457,21.85714286,22.83960898,,0.982466123,0.982466123
190705010800_@00000041@-05308-01052,25.85714286,25.18228505,,0.674857807,0.674857807
190919121448_@00000442@-00033-02652,22.57142857,23.23523525,,0.663806679,0.663806679
191023020829_@00000078@-00000-05326,,26.74018908,,26.74018908,
190731010804_@00000148@-14336-01557,28.42857143,29.30197608,,0.873404651,0.873404651
191011020856_@00000052@-02600-02100,26.14285714,26.94218076,,0.799323617,0.799323617
190823031028_@00000340@-01709-02123,30.71428571,30.74052172,,0.026236006,0.026236006
190925061636_@00000474@-00000-01651,22.85714286,22.74876228,,0.108380577,0.108380577
190927010803_@00000047@-00103-02153,21.14285714,21.08141658,,0.061440563,0.061440563
190924010817_@00000008@-24131-01748,29.14285714,30.57873268,,1.435875537,1.435875537
190828010817_@00000234@-04311-04886,19.85714286,21.34931219,,1.492169333,1.492169333
190618010801_@00000031@-00054-02832,25.42857143,25.56058183,,0.132010401,0.132010401
191015010803_@00000057@-23520-02617,23.85714286,23.45491309,,0.402229767,0.402229767
191105040914_@00000105@-11631-01685,25.28571429,25.17610598,,0.109608306,0.109608306
190731010804_@00000148@-20054-02612,25.28571429,26.35552282,,1.069808534,1.069808534
190726010800_@00000145@-15518-02810,30.71428571,30.9699871,,0.255701386,0.255701386
190624030759_@00000036@-03800-02800,25.28571429,24.89418891,,0.391525376,0.391525376
190731010804_@00000148@-31210-01526,25.14285714,25.3964688,,0.253611657,0.253611657
191023031050_@00000079@-02812-03031,24.85714286,24.53849497,,0.318647887,0.318647887
190619010803_@00000032@-11449-04715,30.28571429,30.9362525,,0.650538214,0.650538214
190919010802_@00000280@-03620-02500,30.28571429,29.47618357,,0.809530716,0.809530716
191031010804_@00000092@-11203-04454,26.85714286,26.78457786,,0.072564997,0.072564997
190819050942_@00000294@-00316-02107,,29.69111983,,29.69111983,
191106051128_@00000113@-00000-02307,28,28.57548088,,0.57548088,0.57548088
190821061122_@00000205@-00000-02143,,25.08517193,,25.08517193,
191105030851_@00000104@-00000-01921,32.57142857,32.78496576,,0.213537189,0.213537189
190918021537_@00000383@-04500-02330,31.85714286,31.42783547,,0.429307387,0.429307387
190822101157_@00000216@-00000-02635,28.42857143,28.36331121,,0.065260219,0.065260219
190724010758_@00000143@-00526-02651,23.42857143,23.13974621,,0.288825219,0.288825219
190624030759_@00000036@-10602-02458,31.71428571,32.62381504,,0.909529326,0.909529326
190924011502_@00000468@-00015-02516,24.28571429,24.25932255,,0.026391736,0.026391736
190530010802_@00000013@-24430-02310,25.71428571,24.97243737,,0.741848344,0.741848344
200122101635_@00000822@,20.71428571,21.57335336,,0.859067646,0.859067646
190719020751_@00000138@-33107-02028,29.57142857,26.66527846,,2.906150111,2.906150111
190920051057_@00000453@-00001-02353,23,22.86847283,,0.13152717,0.13152717
191101041024_@00000101@-11352-02031,21.28571429,21.41882514,,0.133110854,0.133110854
190827031045_@00000347@-00010-03513,29.28571429,28.74257894,,0.543135346,0.543135346
190710010754_@00000130@-12246-04607,26.28571429,26.74464398,,0.458929694,0.458929694
190805010846_@00000171@-11751-03752,26.71428571,25.87511156,,0.839174154,0.839174154
191014041407_@00000499@-05549-02415,,23.82632765,,23.82632765,
190618010801_@00000031@-40100-02000,28.14285714,29.15658522,,1.013728077,1.013728077
190923020929_@00000282@-00000-01733,32,31.78259125,,0.21740875,0.21740875
200121110926_@00000782@,30.85714286,30.10696297,,0.750179887,0.750179887
190930010806_@00000490@-11523-01927,,23.52065927,,23.52065927,
191014030946_@00000498@-12535-01949,22.85714286,22.39683325,,0.460309607,0.460309607
190919020931_@00000386@-00100-02425,32,32.23426981,,0.23426981,0.23426981
191010010812_@00000050@-13236-03354,25.28571429,25.18231568,,0.103398606,0.103398606
190725010759_@00000144@-22714-02541,29,28.05052552,,0.94947448,0.94947448
190718010750_@00000136@-04842-04402,22.71428571,22.52438254,,0.189903174,0.189903174
190827041514_@00000348@-00000-01110,32.14285714,32.64698925,,0.504132107,0.504132107
190919010847_@00000385@-00124-03416,30.42857143,31.49406426,,1.065492831,1.065492831
190722020802_@00000140@-13639-01605,31.71428571,32.59127668,,0.876990966,0.876990966
